Country1,Happiness Rank1,Happiness Score1,Latitude1,Longitude1,Country2,Happiness Rank2,Happiness Score2,Latitude2,Longitude2,Latitude Distance,Longitude Distance,Distance,Rank Difference,Score Difference
Denmark,1,7.526,56.26392,9.501785,Armenia,121,4.36,40.069099,45.038189,16.194820999999997,-35.536404000000005,39.05263418097757,120,3.1659999999999995
Denmark,1,7.526,56.26392,9.501785,Kenya,122,4.356,-0.023559,37.906193,56.287479,-28.404408000000004,63.04832024729846,121,3.17
Denmark,1,7.526,56.26392,9.501785,Ukraine,123,4.324,48.379433,31.16558,7.884487,-21.663795,23.05396167809763,122,3.202
Denmark,1,7.526,56.26392,9.501785,Ghana,124,4.276,7.9465270000000015,-1.0231940000000002,-48.317392999999996,10.524979,49.450436289954915,123,3.25
Denmark,1,7.526,56.26392,9.501785,Congo (Kinshasa),125,4.272,-4.0383330000000015,21.758664000000003,60.302253,-12.256879000000003,61.53529718540936,124,3.2539999999999996
Denmark,1,7.526,56.26392,9.501785,Georgia,126,4.252,42.315407,43.356892,13.948512999999998,-33.855107000000004,36.61597035301151,125,3.274
Denmark,1,7.526,56.26392,9.501785,Congo (Brazzaville),127,4.236000000000001,-0.228021,15.827659,56.491941,-6.325874000000001,56.84501807380623,126,3.289999999999999
Denmark,1,7.526,56.26392,9.501785,Senegal,128,4.218999999999999,14.497401000000002,-14.452362,41.766518999999995,23.954147,48.14813877892862,127,3.3070000000000004
Denmark,1,7.526,56.26392,9.501785,Bulgaria,129,4.217,42.733883,25.48583,13.530037,-15.984045,20.941623523103313,128,3.309
Denmark,1,7.526,56.26392,9.501785,Mauritania,130,4.2010000000000005,21.00789,-10.940835,35.256029999999996,20.442619999999998,40.753998133008984,129,3.3249999999999993
Denmark,1,7.526,56.26392,9.501785,Zimbabwe,131,4.1930000000000005,-19.015438,29.154857,75.279358,-19.653072,77.80247412473044,130,3.3329999999999993
Denmark,1,7.526,56.26392,9.501785,Malawi,132,4.156000000000001,-13.254307999999998,34.301525,69.518228,-24.79974,73.80928890273624,131,3.369999999999999
Denmark,1,7.526,56.26392,9.501785,Sudan,133,4.138999999999999,12.862807,30.217636,43.401112999999995,-20.715851,48.09161145452468,132,3.3870000000000005
Denmark,1,7.526,56.26392,9.501785,Gabon,134,4.121,-0.803689,11.609444,57.067609,-2.107659,57.106516470864875,133,3.4049999999999994
Denmark,1,7.526,56.26392,9.501785,Mali,135,4.073,17.570692,-3.996166000000001,38.693228,13.497951,40.98000212613934,134,3.4529999999999994
Denmark,1,7.526,56.26392,9.501785,Haiti,136,4.0280000000000005,18.971187,-72.28521500000002,37.292733,81.78700000000002,89.88804872511858,135,3.4979999999999993
